Name	Description	Location	Source	UpdateCondition	UpdateMethod	LastUpdateTime
bartblaze		bartblaze/rules.yar	https://github.com/bartblaze/Yara-rules/actions/runs/2157131770	^manually$	GitHubActionArtifact	2022-04-12T00:00:00Z
blacktop		blacktop/w-rules/rules/index.yar	https://github.com/blacktop/docker-yara.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/ac-backdoor-linux		deadbits/rules/ACBackdoor_Linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/apt32-kerr-down		deadbits/rules/APT32_KerrDown.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/apt32-ratsnif		deadbits/rules/APT32_Ratsnif.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/apt34-longwatch		deadbits/rules/APT34_LONGWATCH.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/apt34-pickpocket		deadbits/rules/APT34_PICKPOCKET.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/apt34-valuevault		deadbits/rules/APT34_VALUEVAULT.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/avemaria-warzone		deadbits/rules/avemaria_warzone.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/crescentcore-dmg		deadbits/rules/crescentcore_dmg.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/dacls-linux		deadbits/rules/Dacls_Linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/dacls-windows		deadbits/rules/Dacls_Windows.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/dns-pionage		deadbits/rules/DNSpionage.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/evil-gnome-linux		deadbits/rules/EvilGnome_Linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/glupteba		deadbits/rules/Glupteba.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/godlua-linux		deadbits/rules/godlua_linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/js-worm		deadbits/rules/JSWorm.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/kpot		deadbits/rules/KPOT_v2.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/linux-golang-ransomware		deadbits/rules/Linux_Golang_Ransomware.rule	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/red-ghost-linux		deadbits/rules/RedGhost_Linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/remcos-rat-2019		deadbits/rules/REMCOS_RAT_2019.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/silent-trinity-delivery		deadbits/rules/SilentTrinity_Delivery.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/silent-trinity-payload		deadbits/rules/SilentTrinity_Payload.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/ta505-flower-pippi		deadbits/rules/TA505_FlowerPippi.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/watch-bog-linux		deadbits/rules/WatchBog_Linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
deadbits/winnti-linux		deadbits/rules/winnti_linux.yara	https://github.com/deadbits/yara-rules.git	^flag:yara-slow$	Git	2022-06-29T09:02:57Z
neo23x0/apt-aa19-024a		neo23x0/yara/apt_aa19_024a.yar	https://github.com/Neo23x0/signature-base.git	^(?:flag:yara-fast|timetoken:0 .+ .+ 0)$	Git	2022-09-11T02:05:20Z
neo23x0/apt-agent-btz		neo23x0/yara/apt_agent_btz.yar	https://github.com/Neo23x0/signature-base.git	^(?:flag:yara-fast|timetoken:0 .+ .+ 0)$	Git	2022-09-11T02:05:20Z
neo23x0/apt-alienspy-rat		neo23x0/yara/apt_alienspy_rat.yar	https://github.com/Neo23x0/signature-base.git	^(?:flag:yara-fast|timetoken:0 .+ .+ 0)$	Git	2022-09-11T02:05:20Z
neo23x0/apt-apt3-bemstour		neo23x0/yara/apt_apt3_bemstour.yar	https://github.com/Neo23x0/signature-base.git	^(?:flag:yara-fast|timetoken:0 .+ .+ 0)$	Git	2022-09-11T02:05:20Z
